date,freq
2013-11-03,1
2013-11-04,8
2013-11-05,5
2013-11-09,1
2013-11-10,2
2013-11-11,2
2013-11-13,1
2013-11-14,1
2013-11-17,4
2013-11-18,1
2013-11-19,1
2013-11-22,1
2013-11-23,1
2013-11-24,4
2013-11-25,8
2013-11-28,10
2013-11-29,7
2013-11-30,5
2013-12-01,2
2013-12-02,3
2013-12-03,1
2013-12-05,4
2013-12-06,2
2013-12-08,2
2013-12-09,4
2013-12-11,6
2013-12-12,1
2013-12-13,4
2013-12-16,3
2013-12-17,1
2013-12-18,2
2013-12-20,2
2013-12-23,7
2013-12-24,6
2013-12-25,1
2013-12-29,1
2013-12-30,1
2013-12-31,2
